S.,,,Un
No.,Branch,Course Name/Group Name,(Credits)
144,CHE,ANALYSIS AND DESIGN OF,3-0-0-
,,MULTIPHASE,0(9)
,,REACTORS(CHE632A),
145,CHE,PRINCIPLES OF,3-0-0-
,,HETEROGENEOUS,0(9)
,,CATALYSIS(CHE633A),
146,CHE,MATHEMATICAL METHODS,3-0-0-
,,IN CHEMICAL,0(9)
S.,,,Units
No.,Branch,Course Name/Group Name,(Credits)
147,CHE,MESOSCALE AND,1-0-6-
,,CONTINUUM SIMULATIONS,0(9)
,,IN CHEMICAL,
,,ENGINEERING(CHE643A),
148,CHE,OPTIMIZATION(CHE652A),3-0-0-
,,,0(9)
149,CHE,PROCESS ENGG.,3-0-0-
,,PRINCIPLES IN MICRO.,0(9)
,,FABRICATION(CHE659A),
150,CHE,CONVECTIVE HEAT AND,3-0-0-
,,MASS TRANSFER IN,0(9)
,,CHEMICAL ENGINEERING,
,,APPLICATIONS(CHE663A),
151,CHE,INTRODUCTION TO,3-0-0-
,,PHYSICS OF POLYMERIC,0(9)
,,SYSTEM(CHE677A),
152,CHE,M TECH THESIS(CHE699),0-0-0-
,,,0(0)
,,,
153,CHE,M. TECH.,0-0-0-
,,SEMINAR(CHE701A),0(0)
,,,
,,,
,,,
154,CHE,PHD THESIS(CHE799),0-0-0-
,,,0(0)
155,CHE,PHD SEMINAR(CHE801A),0-0-0-
,,,0(0)
,,,
,,,
,,,
156,CHE,MS - RESEARCH,0-0-0-
,,THESIS(CHE899),0(0)
157,CHE,THERMODYNAMICS(ESO201,3-1-0-
,,A),0(11)
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
158,CHM,BASIC ORGANIC,3-0-0-
,,CHEMISTRY-I(CHM201A),0(9)
159,CHM,ORGANIC CHEMISTRY,3-0-0-
,,I(CHM303A),0(9)
,,,
160,CHM,ORGANIC QUALITATIVE &,0-0-6-
,,QUANTITATIVE,0(6)
,,ANALYSIS(CHM305A),
161,CHM,PHYSICAL CHEMISTRY,3-0-0-
,,I(CHM321A),0(9)
,,,
162,CHM,INORGANIC CHEMISTRY,3-0-0-
S.,,,Units
No.,Branch,Course Name/Group Name,(Credits)
163,CHM,CHEMISTRY,2-0-0-
,,COMMUNICATION,0(6)
,,SKILLS(CHM361A),
,,,
,,,
,,,
,,,
,,,
164,CHM,UNDER GRADUATE,0-0-4-
,,PROJECT-I(CHM391A),0(4)
165,CHM,ORGANIC CHEMISTRY,3-0-0-
,,I(CHM401A),0(9)
,,,
166,CHM,ORGANIC QUALITATIVE &,0-0-6-
,,QUANTITATIVE,0(6)
,,ANALYSIS(CHM404A),
167,CHM,PHYSICAL CHEMISTRY,3-0-0-
,,I(CHM421A),0(9)
,,,
168,CHM,PHYSICAL CHEMISTRY,0-0-6-
,,LABORATORY(CHM423A),0(6)
,,,
,,,
169,CHM,INORGANIC CHEMISTRY,3-0-0-
,,I(CHM441A),0(9)
170,CHM,UNDER GRADUATE,0-0-0-
,,PROJECT-III(CHM491A),0(9)
171,CHM,ORGANIC PREPARATION,0-0-6-
,,LAB(CHM503A),0(6)
,,,
172,CHM,MATHEMATICS FOR,2-0-0-
,,CHEMISTRY(CHM521A),0(6)
173,CHM,MATHEMATICS FOR,3-0-0-
S.,,,Units
No.,Branch,Course Name/Group Name,(Credits)
,,CHEMISTRY(CHM600A),0(9)
174,CHM,PRINCIPLES OF ORGANIC,3-0-0-
,,CHEMISTRY(CHM609A),0(9)
,,,
175,CHM,PHYSICAL ORGANIC,3-0-0-
,,CHEMISTRY(CHM611A),0(9)
,,,
176,CHM,FRONTIERS IN ORGANIC,3-0-0-
,,CHEMISTRY(CHM612A),0(9)
177,CHM,CHEMICAL,3-0-0-
,,BINDING(CHM621A),0(9)
,,,
178,CHM,PRINCIPLES OF PHYSICAL,3-0-0-
,,CHEMISTRY(CHM629A),0(9)
,,,
179,CHM,APPLICATIONS OF MODERN,3-0-0-
,,INSTRUMENTAL,0(9)
,,METHODS(CHM631A),
,,,
180,CHM,PHYSICAL,3-0-0-
,,PHOTOCHEMISTRY(CHM636,0(9)
,,A),
181,CHM,BIO-INORGANIC,3-0-0-
,,CHEMISTRY(CHM646A),0(9)
182,CHM,MACROCYCLES RINGS AND,3-0-0-
,,POLYMERS(CHM647A),0(9)
,,,
183,CHM,THE CHEMISTRY OF,3-0-0-
,,METAL-CARBON BOND:,0(9)
,,STRUCTURE REACTIVITY &,
,,APPLICATIONS(CHM648A),
184,CHM,PRINCIPLES OF INORGANIC,3-0-0-
,,CHEMISTRY(CHM649A),0(9)
S.,,,Units
No.,Branch,Course Name/Group Name,(Credits)
,,,
185,CHM,ORGANIC STRUCTURE,3-0-0-
,,DETERMINATION BY,0(9)
,,SPECTROSCOPIC,
,,TECHNIQUES(CHM656A),
186,CHM,CHEMISTRY OF NATURAL,3-0-0-
,,PRODUCTS(CHM662A),0(9)
,,,
187,CHM,MODERN PHYSICAL,3-0-0-
,,METHODS IN,0(9)
,,CHEMISTRY(CHM664A),
188,CHM,FRONTIERS IN INORGANIC,3-0-0-
,,CHEMISTRY(CHM691A),0(9)
,,,
,,,
189,CHM,SPECIAL TOPICS IN,3-0-0-
,,PHYSICAL,0(9)
,,CHEMISTRY(CHM692A),
190,CHM,MOLECULAR MODELLING,3-0-0-
,,IN CHEMISTRY(CHM695A),0(9)
191,CHM,QUANTUM,3-0-0-
,,COMPUTING(CHM696A),0(9)
,,,
192,CHM,LASERS IN CHEMISTRY,3-0-0-
,,AND BIOLOGY(CHM697A),0(9)
193,CHM,RESEARCH(CHM799),0-0-0-
,,,0(0)
194,CHM,GENERAL,0-0-0-
,,SEMINAR(CHM800A),0(0)
195,CHM,GRADUATE,0-0-0-
,,SEMINAR(CHM801A),0(0)
196,COM,COMMUNICATION SKILLS:,1-0-2-
S.,,,Units
No.,Branch,Course Name/Group Name,(Credits)
,,COMPOSITION(COM200),0(5)
197,CSE,MATHEMATICS FOR,3-0-0-
,,COMPUTER SCIENCE -,0(9)
,,I(CS201A),
,,,
198,CSE,TECHNICAL,0-0-2-
,,COMMUNICATION(CS300A),0(2)
199,CSE,OPERATING,3-0-3-
,,SYSTEMS(CS330A),0(12)
,,,
,,,
200,CSE,THEORY OF,3-0-0-
,,COMPUTATION(CS340A),0(9)
,,,
201,CSE,ALGORITHMS -II(CS345A),3-0-0-
,,,0(9)
202,CSE,PRINCIPLES OF,3-0-0-
,,PROGRAMMING,0(9)
,,LANGAUGES(CS350A),
203,CSE,UG PROJECT (UGP-,0-0-0-
,,I)(CS395A),0(4)
204,CSE,UG PROJECT (UGP-,0-0-0-
,,II)(CS396A),0(9)
205,CSE,COMPUTER,3-0-0-
,,ARCHITECTURE(CS422A),0(9)
,,,
206,CSE,UNDER GRADUATE,0-0-0-
,,PROJECT-III(CS498A),0(9)
207,CSE,UNDER GRADUATE,0-0-0-
,,PROJECT-IV(CS499A),0(9)
208,CSE,PROGRAMMING FOR,3-0-0-
,,PERFORMANCE(CS610A),0(9)
S.,,,Units
No.,Branch,Course Name/Group Name,(Credits)
,,,
209,CSE,COMPUTER SYSTEMS,3-0-0-
,,SECURITY(CS628A),0(9)
,,,
,,,
210,CSE,EMBEDDED AND CYBER-,3-0-0-
,,PHYSICAL,0(9)
,,SYSTEMS(CS637A),
211,CSE,PROGRAM ANALYSIS,3-0-0-
,,VERIFICATION AND,0(9)
,,TESTING(CS639A),
212,CSE,CIRCUIT COMPLEXITY,3-0-0-
,,THEORY(CS642A),0(9)
,,,
213,CSE,ADVANCED TOPICS IN,3-0-0-
,,ALGORITHMS & DATA,0(9)
,,STRCUTURES(CS647A),
,,,
214,CSE,ALGORITHMIC GAME,3-0-0-
,,THEORY(CS656A),0(9)
,,,
215,CSE,HARDWARE SECURITY OF,3-0-0-
,,INTERNET OF,0(9)
,,THINGS(CS666A),
216,CSE,INTRODUCTION TO,3-0-0-
,,INTERNET OF THINGS & ITS,0(9)
,,INDUSTRIAL,
,,APPLICATIONS(CS667A),
217,CSE,PRACTICAL CYBER,3-0-0-
,,SECURITY FOR CYBER,0(9)
,,PRACTITIONERS(CS668A),
218,CSE,QUANTUM,3-0-0-
,,COMPUTING(CS682A),0(9)
219,CSE,COMPUTATIONAL,3-0-0-
,,LINGUISTICS FOR INDIAN,0(9)
,,LANGUAGES(CS689A),
220,CSE,COMPUTATIONAL,3-0-0-
,,GENOMICS(CS690A),0(9)
,,,
221,CSE,SPECIAL TOPICS IN,0-0-0-
,,COMPUTER,0(9)
,,SCIENCE(CS697A),
222,CSE,SENSING,3-0-0-
,,COMMUNICATIONS AND,0(9)
,,NETWORKING FOR SMART,
,,WIRELESS,
,,DEVICES(CS698F),
223,CSE,PRACTICAL CYBER,3-0-0-
,,SECURITY FOR CYBER,0(9)
,,PRACTITIONERS(CS698S),
224,CSE,M TECH THESIS(CS699),0-0-0-
,,,0(0)
225,CSE,SENSING,3-0-0-
,,COMMUNICATIONS AND,0(9)
